               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062438,            0.057267,            0.072056,            0.082049,             0.30958,            0.079388,            0.048158,             0.03475,            0.027568,            0.066747,            0.070048,            0.003328,            0.003328
                   1,            0.038397,            0.052585,            0.064706,             0.20226,             0.24987,             0.19827,             0.11887,            0.029976,            0.025695,            0.058547,            0.039916,           0.0065294,           0.0065294
                   2,            0.036228,            0.050633,            0.053311,             0.40846,             0.44926,             0.40091,             0.24441,            0.029641,            0.025242,            0.043463,           0.0096526,           0.0095988,           0.0095988
                   3,            0.034688,            0.050018,            0.036042,             0.63682,             0.64548,              0.6448,             0.40477,            0.028063,            0.026184,            0.025879,            0.009406,            0.009406,            0.009406
                   4,            0.032736,            0.049293,            0.025414,              0.7284,              0.7081,               0.741,              0.4873,            0.027314,            0.025167,            0.017892,            0.009406,            0.009406,            0.009406
                   5,             0.03133,            0.048884,            0.020667,              0.7315,             0.68282,             0.72094,             0.48145,            0.026867,            0.024855,            0.018793,            0.009208,            0.009208,            0.009208
                   6,            0.030009,            0.048261,            0.017831,               0.756,             0.76382,             0.79697,              0.5401,            0.024993,            0.023917,            0.012338,             0.00901,             0.00901,             0.00901
                   7,            0.028917,            0.047632,            0.016495,             0.78207,              0.7744,              0.8141,              0.5671,            0.023792,            0.023326,            0.010973,            0.008812,            0.008812,            0.008812
                   8,            0.027974,            0.047437,            0.015432,             0.79208,               0.791,             0.82924,             0.58097,            0.023587,            0.023143,           0.0085172,            0.008614,            0.008614,            0.008614
                   9,            0.027503,            0.046784,             0.01431,             0.77519,             0.76433,             0.81491,             0.57826,            0.023148,            0.023284,            0.010952,            0.008416,            0.008416,            0.008416
                  10,            0.026899,            0.046068,            0.013272,             0.80078,             0.79256,             0.84797,              0.6015,            0.022802,            0.022707,           0.0081779,            0.008218,            0.008218,            0.008218
                  11,            0.026327,            0.045758,             0.01242,             0.81397,             0.80429,             0.85706,             0.61633,            0.022234,             0.02214,           0.0071013,             0.00802,             0.00802,             0.00802
                  12,            0.025927,            0.045569,            0.011605,             0.82283,             0.82583,             0.87177,             0.63185,             0.02198,               0.022,            0.005814,            0.007822,            0.007822,            0.007822
                  13,            0.025433,            0.044606,            0.011042,             0.83725,             0.82032,             0.87515,             0.63779,            0.021395,            0.021738,           0.0055305,            0.007624,            0.007624,            0.007624
                  14,             0.02513,            0.044218,            0.010672,             0.82803,             0.84161,             0.88655,             0.65007,            0.021096,            0.021255,            0.005127,            0.007426,            0.007426,            0.007426
                  15,             0.02466,            0.043742,            0.010333,             0.82895,             0.82544,             0.87579,             0.64257,            0.021144,             0.02142,           0.0057169,            0.007228,            0.007228,            0.007228
                  16,            0.024218,            0.043335,           0.0098124,             0.84264,             0.84875,             0.88951,             0.65949,            0.020652,            0.020877,           0.0046857,             0.00703,             0.00703,             0.00703
                  17,            0.023904,            0.043113,           0.0093774,             0.84341,             0.83096,              0.8901,             0.66499,             0.02047,            0.020869,           0.0047635,            0.006832,            0.006832,            0.006832
                  18,            0.023682,            0.042724,            0.009268,             0.85677,             0.83272,             0.89406,             0.67036,            0.020173,              0.0207,           0.0043096,            0.006634,            0.006634,            0.006634
                  19,            0.023434,             0.04234,            0.008666,              0.8542,             0.84711,             0.89855,             0.67353,            0.019982,            0.020456,           0.0039134,            0.006436,            0.006436,            0.006436
                  20,            0.023065,            0.041891,           0.0085127,             0.85816,             0.85229,             0.90344,             0.68005,            0.019728,            0.020263,            0.004423,            0.006238,            0.006238,            0.006238
                  21,            0.022771,            0.041789,           0.0081525,             0.86912,              0.8446,             0.90866,             0.68375,            0.019628,            0.020139,           0.0037501,             0.00604,             0.00604,             0.00604
                  22,            0.022489,            0.041132,           0.0080922,             0.86275,             0.85869,             0.90932,             0.69178,            0.019255,            0.019911,           0.0033475,            0.005842,            0.005842,            0.005842
                  23,            0.022361,            0.040966,           0.0076415,             0.87448,             0.85925,             0.91761,             0.70015,            0.019214,            0.019668,           0.0030701,            0.005644,            0.005644,            0.005644
                  24,            0.022213,            0.040712,           0.0074621,             0.87438,             0.86053,             0.91695,             0.70154,            0.019094,            0.019564,           0.0027925,            0.005446,            0.005446,            0.005446
                  25,            0.021831,            0.040427,           0.0069978,             0.88452,              0.8595,             0.92151,             0.70441,            0.018762,            0.019358,           0.0028957,            0.005248,            0.005248,            0.005248
                  26,            0.021634,            0.040228,           0.0068697,             0.89039,             0.86012,             0.92293,             0.70784,            0.018731,            0.019212,           0.0026024,             0.00505,             0.00505,             0.00505
                  27,            0.021304,            0.040024,           0.0067394,              0.8862,             0.86157,             0.92343,             0.71163,            0.018488,            0.019305,           0.0024702,            0.004852,            0.004852,            0.004852
                  28,            0.021173,             0.03996,            0.006401,             0.88533,             0.87286,             0.92737,             0.71592,            0.018326,            0.018867,           0.0025241,            0.004654,            0.004654,            0.004654
                  29,            0.020755,            0.039231,           0.0062046,             0.88779,             0.87099,             0.92823,             0.72016,            0.018267,             0.01888,           0.0022633,            0.004456,            0.004456,            0.004456
                  30,            0.020541,            0.038864,           0.0063338,             0.88435,             0.87031,             0.92797,             0.71888,             0.01827,            0.018909,           0.0023413,            0.004258,            0.004258,            0.004258
                  31,            0.020589,            0.038503,           0.0059412,             0.89396,             0.88216,             0.93214,             0.72776,            0.017851,            0.018436,           0.0021296,             0.00406,             0.00406,             0.00406
                  32,            0.020192,            0.038465,            0.005836,             0.89992,             0.86763,             0.93337,              0.7315,            0.017756,            0.018397,           0.0021854,            0.003862,            0.003862,            0.003862
                  33,            0.020055,            0.038502,           0.0057781,             0.89493,             0.87957,             0.93188,             0.73162,            0.017698,            0.018438,           0.0019636,            0.003664,            0.003664,            0.003664
                  34,            0.019758,            0.037977,           0.0052952,             0.89021,             0.88319,             0.93529,             0.73473,            0.017491,            0.018259,            0.001975,            0.003466,            0.003466,            0.003466
                  35,            0.019592,            0.037674,           0.0053194,             0.90082,             0.88263,             0.93531,             0.73755,            0.017415,            0.018145,           0.0019137,            0.003268,            0.003268,            0.003268
                  36,            0.019425,            0.037438,           0.0051852,             0.89799,             0.88203,             0.93713,             0.74228,            0.017307,            0.018119,           0.0019208,             0.00307,             0.00307,             0.00307
                  37,            0.019225,            0.037058,           0.0050865,             0.90123,             0.88479,             0.93732,              0.7422,            0.017261,             0.01796,           0.0018169,            0.002872,            0.002872,            0.002872
                  38,            0.018836,            0.036771,           0.0049609,             0.90248,             0.88417,             0.93886,             0.74511,            0.017133,            0.017826,           0.0018331,            0.002674,            0.002674,            0.002674
                  39,            0.018745,              0.0367,           0.0049593,             0.89738,               0.889,             0.94091,             0.74967,            0.016961,             0.01775,           0.0016536,            0.002476,            0.002476,            0.002476
                  40,            0.018487,            0.036106,           0.0046644,             0.91053,              0.8802,             0.93973,              0.7482,            0.016967,            0.017695,           0.0016397,            0.002278,            0.002278,            0.002278
                  41,            0.018337,            0.036248,           0.0044582,             0.90694,             0.88955,             0.94309,             0.75403,            0.016827,            0.017518,           0.0015807,             0.00208,             0.00208,             0.00208
                  42,            0.018041,            0.035837,           0.0042495,                0.91,              0.8855,             0.94322,             0.75401,            0.016811,            0.017487,           0.0014516,            0.001882,            0.001882,            0.001882
                  43,            0.017839,            0.035321,           0.0042076,             0.91284,             0.88972,             0.94505,             0.75737,            0.016641,            0.017319,           0.0014508,            0.001684,            0.001684,            0.001684
                  44,            0.017614,             0.03538,           0.0040003,              0.9096,             0.89193,             0.94493,             0.75898,            0.016535,            0.017284,           0.0014857,            0.001486,            0.001486,            0.001486
                  45,            0.017492,            0.034925,           0.0039119,             0.91236,             0.89166,             0.94576,             0.75964,            0.016541,            0.017242,           0.0013541,            0.001288,            0.001288,            0.001288
                  46,            0.017259,            0.034499,           0.0037717,             0.91921,             0.88965,             0.94638,             0.76159,            0.016507,            0.017214,           0.0014158,             0.00109,             0.00109,             0.00109
                  47,             0.01706,              0.0344,           0.0036978,             0.91107,             0.89601,              0.9467,             0.76329,            0.016454,            0.017135,           0.0014542,            0.000892,            0.000892,            0.000892
                  48,            0.016917,            0.034583,           0.0034973,             0.91127,             0.89942,             0.94785,             0.76472,            0.016356,            0.017123,           0.0013101,            0.000694,            0.000694,            0.000694
                  49,            0.016653,            0.033898,           0.0033982,             0.90845,             0.90079,             0.94754,             0.76554,            0.016328,            0.017075,            0.001382,            0.000496,            0.000496,            0.000496
